Image name,Position,Region type,ID,Area [pixels],Perimeter [pixels],Eccentricity,Orientation [radians],Solidity,Extent,Major Axis Length [pixels],Minor Axis Length [pixels],Equivalent Diameter [pixels],Part_ID,Num_voids
img01.bmp,top_left,part,0,39196,4020.762,0.148,-1.279,0.777,0.761,276.801,273.771,223.396,1,41
img01.bmp,top_left,void,1,92,38.385,0.768,-1.539,0.885,0.613,14.298,9.154,10.823,1,41
img01.bmp,top_left,void,2,95,47.178,0.934,-1.337,0.826,0.528,19.512,6.949,10.998,1,41
img01.bmp,top_left,void,3,241,77.391,0.942,-1.305,0.886,0.473,31.984,10.76,17.517,1,41
img01.bmp,top_left,void,4,196,62.249,0.884,-1.47,0.907,0.58,24.568,11.5,15.797,1,41
img01.bmp,top_left,void,5,147,54.527,0.88,0.953,0.902,0.516,20.832,9.901,13.681,1,41
img01.bmp,top_left,void,6,192,72.077,0.952,-1.317,0.865,0.462,30.12,9.208,15.635,1,41
img01.bmp,top_left,void,7,321,73.941,0.334,0.436,0.92,0.608,21.979,20.714,20.217,1,41
img01.bmp,top_left,void,8,345,77.841,0.494,1.011,0.925,0.575,23.87,20.753,20.959,1,41
img01.bmp,top_left,void,9,307,76.355,0.73,0.255,0.908,0.541,25.503,17.422,19.771,1,41
img01.bmp,top_left,void,10,292,80.669,0.903,-0.846,0.898,0.433,31.197,13.379,19.282,1,41
img01.bmp,top_left,void,11,425,86.083,0.633,0.886,0.932,0.605,27.678,21.422,23.262,1,41
img01.bmp,top_left,void,12,311,92.77,0.95,0.199,0.881,0.486,38.285,11.994,19.899,1,41
img01.bmp,top_left,void,13,192,75.284,0.972,0.203,0.869,0.513,33.553,7.922,15.635,1,41
img01.bmp,top_left,void,14,344,88.012,0.898,-1.308,0.896,0.517,33.545,14.729,20.928,1,41
img01.bmp,top_left,void,15,151,59.527,0.958,-0.944,0.853,0.35,27.492,7.91,13.866,1,41
img01.bmp,top_left,void,16,576,102.083,0.752,-1.283,0.926,0.593,35.429,23.356,27.081,1,41
img01.bmp,top_left,void,17,572,111.983,0.882,-1.156,0.914,0.517,41.688,19.667,26.987,1,41
img01.bmp,top_left,void,18,242,68.906,0.892,0.584,0.927,0.531,27.323,12.377,17.553,1,41
img01.bmp,top_left,void,19,570,111.983,0.882,-1.154,0.906,0.515,41.619,19.584,26.94,1,41
img01.bmp,top_left,void,20,404,82.527,0.485,0.326,0.929,0.647,25.512,22.316,22.68,1,41
img01.bmp,top_left,void,21,127,49.314,0.933,-0.065,0.927,0.756,21.793,7.832,12.716,1,41
