Image name,Position,Region type,ID,Area [pixels],Perimeter [pixels],Eccentricity,Orientation [radians],Solidity,Extent,Major Axis Length [pixels],Minor Axis Length [pixels],Equivalent Diameter [pixels],Part_ID,Num_voids
img01.bmp,top_left,part,0,39334,3979.892,0.145,-1.399,0.775,0.658,276.941,274.023,223.789,1,41
img01.bmp,bottom_left,part,0,38974,4087.348,0.148,-1.234,0.767,0.721,278.216,275.169,222.763,2,42
img01.bmp,top_right,part,0,39176,3988.051,0.163,1.528,0.78,0.712,275.773,272.072,223.339,3,46
img01.bmp,bottom_right,part,0,38904,4011.739,0.161,-1.186,0.772,0.67,276.86,273.25,222.563,4,47
img02.bmp,top_left,part,0,38376,4133.306,0.119,-0.789,0.755,0.707,278.803,276.832,221.047,5,42
img02.bmp,bottom_left,part,0,38086,4233.674,0.104,-0.863,0.75,0.729,279.073,277.567,220.21,6,42
img02.bmp,top_right,part,0,37905,4290.058,0.052,-0.869,0.752,0.723,277.31,276.929,219.686,7,47
img02.bmp,bottom_right,part,0,38740,4084.335,0.128,-0.828,0.764,0.72,277.947,275.666,222.093,8,44
img03.bmp,top_left,part,0,39202,4034.821,0.125,-1.325,0.774,0.722,276.453,274.286,223.413,9,43
img03.bmp,bottom_left,part,0,39079,4049.892,0.135,-1.164,0.771,0.714,277.074,274.527,223.063,10,43
img03.bmp,top_right,part,0,38538,4092.159,0.129,1.327,0.772,0.637,274.918,272.637,221.513,11,45
img03.bmp,bottom_right,part,0,38471,4097.916,0.138,-1.18,0.764,0.671,276.904,274.247,221.321,12,46
img04.bmp,top_left,part,0,38555,4127.921,0.116,-0.674,0.759,0.723,278.298,276.411,221.562,13,44
img04.bmp,bottom_left,part,0,37721,4272.857,0.119,-0.514,0.744,0.726,280.002,278.014,219.153,14,44
img04.bmp,top_right,part,0,37326,4366.485,0.038,-0.178,0.742,0.712,277.569,277.371,218.002,15,47
img04.bmp,bottom_right,part,0,38111,4221.674,0.135,-0.704,0.753,0.714,278.687,276.133,220.283,16,45
img05.bmp,top_left,part,0,37926,4260.804,0.097,-0.485,0.746,0.711,279.505,278.184,219.747,17,43
img05.bmp,bottom_left,part,0,38410,4197.36,0.109,-0.598,0.753,0.701,279.225,277.55,221.145,18,43
img05.bmp,top_right,part,0,36866,4388.97,0.085,0.388,0.739,0.682,277.35,276.354,216.655,19,47
img05.bmp,bottom_right,part,0,37478,4309.656,0.12,-0.369,0.744,0.702,278.832,276.821,218.446,20,46
img06.bmp,top_left,part,0,40214,3915.382,0.143,-1.295,0.783,0.713,278.233,275.379,226.279,21,42
img06.bmp,bottom_left,part,0,39844,3991.708,0.145,-1.219,0.775,0.718,278.845,275.911,225.235,22,42
img06.bmp,top_right,part,0,39809,3955.365,0.157,1.559,0.782,0.718,277.204,273.745,225.136,23,45
img06.bmp,bottom_right,part,0,40223,3834.997,0.164,-1.278,0.785,0.747,278.015,274.25,226.304,24,40
img07.bmp,top_left,part,0,39749,3975.424,0.134,-1.268,0.778,0.742,277.751,275.258,224.967,25,42
img07.bmp,bottom_left,part,0,38270,4159.531,0.12,-1.107,0.754,0.727,278.877,276.878,220.742,26,43
img07.bmp,top_right,part,0,39106,3999.3,0.117,1.405,0.778,0.736,275.21,273.307,223.14,27,46
img07.bmp,bottom_right,part,0,39071,3928.779,0.15,-1.251,0.772,0.717,277.402,274.26,223.04,28,41
img08.bmp,top_left,part,0,37969,4153.992,0.13,-0.788,0.754,0.737,278.949,276.595,219.872,29,42
img08.bmp,bottom_left,part,0,38783,4124.46,0.14,-0.995,0.76,0.679,279.346,276.596,222.216,30,42
img08.bmp,top_right,part,0,38788,4125.59,0.097,-1.571,0.767,0.733,276.737,275.44,222.231,31,47
img08.bmp,bottom_right,part,0,38928,4108.076,0.134,-0.839,0.765,0.673,278.153,275.627,222.631,32,45
img09.bmp,top_left,part,0,39356,4009.465,0.13,-1.072,0.771,0.725,277.926,275.563,223.852,33,42
img09.bmp,bottom_left,part,0,38933,4111.289,0.123,-1.054,0.76,0.646,279.2,277.09,222.646,34,41
img09.bmp,top_right,part,0,38593,4061.3,0.109,-1.53,0.769,0.742,275.864,274.224,221.671,35,47
img09.bmp,bottom_right,part,0,39356,3944.294,0.14,-1.066,0.775,0.734,277.401,274.668,223.852,36,41
img10.bmp,top_left,part,0,38242,4211.33,0.124,-0.548,0.752,0.667,279.195,277.029,220.661,37,44
img10.bmp,bottom_left,part,0,37575,4263.615,0.124,-0.503,0.741,0.663,279.641,277.481,218.728,38,41
img10.bmp,top_right,part,0,37780,4303.129,0.047,-1.073,0.751,0.708,276.766,276.456,219.324,39,47
img10.bmp,bottom_right,part,0,37610,4298.443,0.138,-0.496,0.744,0.693,279.375,276.686,218.83,40,47
