Image name,Position,Region type,ID,Area [pixels],Perimeter [pixels],Eccentricity,Orientation [radians],Solidity,Extent,Major Axis Length [pixels],Minor Axis Length [pixels],Equivalent Diameter [pixels],Part_ID,Num_voids
img01.bmp,top_left,void,1,94,37.556,0.773,1.445,0.949,0.696,14.463,9.178,10.94,1,41
img01.bmp,top_left,void,2,95,46.142,0.935,-1.466,0.872,0.565,19.647,6.959,10.998,1,41
img01.bmp,top_left,void,3,239,77.527,0.942,-1.432,0.909,0.569,31.984,10.699,17.444,1,41
img01.bmp,top_left,void,4,195,61.42,0.885,1.545,0.907,0.577,24.535,11.419,15.757,1,41
img01.bmp,top_left,void,5,146,54.77,0.883,0.818,0.912,0.477,20.885,9.814,13.634,1,41
img01.bmp,top_left,void,6,192,71.835,0.954,-1.44,0.881,0.529,30.397,9.124,15.635,1,41
img01.bmp,top_left,void,7,322,72.77,0.324,0.429,0.947,0.61,22.009,20.826,20.248,1,41
img01.bmp,top_left,void,8,342,76.184,0.498,0.893,0.927,0.594,23.752,20.593,20.867,1,41
img01.bmp,top_left,void,9,292,78.912,0.904,-0.973,0.927,0.438,31.198,13.312,19.282,1,41
img01.bmp,top_left,void,10,306,75.527,0.731,0.131,0.916,0.567,25.444,17.365,19.739,1,41
img01.bmp,top_left,void,11,425,83.841,0.642,0.766,0.944,0.605,27.779,21.289,23.262,1,41
img01.bmp,top_left,void,12,345,85.598,0.901,-1.435,0.925,0.564,33.763,14.669,20.959,1,41
img01.bmp,top_left,void,13,151,61.527,0.958,-1.066,0.91,0.387,27.403,7.877,13.866,1,41
img01.bmp,top_left,void,14,310,91.698,0.95,0.071,0.899,0.582,38.235,11.943,19.867,1,41
img01.bmp,top_left,void,15,189,74.249,0.971,0.08,0.883,0.618,33.316,7.91,15.513,1,41
img01.bmp,top_left,void,16,578,102.326,0.759,-1.402,0.941,0.585,35.743,23.257,27.128,1,41
img01.bmp,top_left,void,17,574,109.497,0.881,-1.275,0.941,0.547,41.711,19.725,27.034,1,41
img01.bmp,top_left,void,18,242,69.113,0.893,0.471,0.931,0.548,27.457,12.36,17.553,1,41
img01.bmp,top_left,void,19,371,83.941,0.807,0.428,0.939,0.609,30.077,17.757,21.734,1,41
img01.bmp,top_left,void,20,345,74.77,0.779,0.802,0.948,0.625,27.494,17.249,20.959,1,41
img01.bmp,top_left,void,21,569,110.326,0.883,-1.277,0.939,0.529,41.612,19.542,26.916,1,41
img01.bmp,top_left,void,22,404,81.598,0.49,0.195,0.955,0.622,25.591,22.31,22.68,1,41
img01.bmp,top_left,void,23,127,51.799,0.932,-0.191,0.882,0.605,21.775,7.9,12.716,1,41
img01.bmp,top_left,void,24,316,81.012,0.867,1.057,0.919,0.495,30.189,15.032,20.059,1,41
img01.bmp,top_left,void,25,353,77.941,0.779,1.348,0.944,0.63,28.051,17.573,21.2,1,41
img01.bmp,top_left,void,26,347,78.77,0.779,0.471,0.928,0.584,27.911,17.51,21.019,1,41
img01.bmp,top_left,void,27,436,89.012,0.544,0.354,0.94,0.599,27.503,23.078,23.561,1,41
img01.bmp,top_left,void,28,60,30.728,0.819,-0.149,0.882,0.625,12.092,6.94,8.74,1,41
img01.bmp,top_left,void,29,281,79.533,0.907,0.828,0.906,0.372,31.401,13.225,18.915,1,41
img01.bmp,top_left,void,30,462,93.497,0.779,0.79,0.941,0.531,32.666,20.471,24.254,1,41
img01.bmp,top_left,void,31,369,80.426,0.657,-0.518,0.937,0.569,26.321,19.834,21.675,1,41
img01.bmp,top_left,void,32,416,85.355,0.657,0.15,0.937,0.624,28.261,21.309,23.015,1,41
img01.bmp,top_left,void,33,97,43.799,0.933,-0.392,0.898,0.539,19.007,6.839,11.113,1,41
img01.bmp,top_left,void,34,196,62.148,0.871,1.206,0.907,0.523,23.926,11.775,15.797,1,41
img01.bmp,top_left,void,35,99,49.385,0.948,1.379,0.853,0.478,21.329,6.798,11.227,1,41
img01.bmp,top_left,void,36,237,66.184,0.835,1.21,0.929,0.536,24.855,13.68,17.371,1,41
img01.bmp,top_left,void,37,131,49.456,0.868,-1.376,0.916,0.567,19.375,9.628,12.915,1,41
img01.bmp,top_left,void,38,162,59.941,0.937,1.118,0.931,0.463,25.483,8.887,14.362,1,41
img01.bmp,top_left,void,39,10,10.414,0.985,0.817,1.0,0.333,8.128,1.392,3.568,1,41
img01.bmp,top_left,void,40,136,48.627,0.854,-1.38,0.919,0.589,19.146,9.965,13.159,1,41
img01.bmp,top_left,void,41,28,22.243,0.982,1.238,0.778,0.431,14.164,2.64,5.971,1,41
img01.bmp,bottom_left,void,1,152,49.627,0.71,1.196,0.956,0.615,17.567,12.373,13.912,2,42
img01.bmp,bottom_left,void,2,131,53.592,0.929,-1.299,0.891,0.518,22.524,8.356,12.915,2,42
img01.bmp,bottom_left,void,3,337,85.012,0.887,-1.377,0.941,0.536,32.7,15.075,20.714,2,42
img01.bmp,bottom_left,void,4,249,71.042,0.841,-1.411,0.919,0.576,25.981,14.046,17.806,2,42
img01.bmp,bottom_left,void,5,187,59.148,0.846,0.86,0.949,0.519,22.255,11.862,15.43,2,42
img01.bmp,bottom_left,void,6,59,37.456,0.972,0.86,0.922,0.328,18.359,4.312,8.667,2,42
img01.bmp,bottom_left,void,7,252,76.113,0.931,-1.411,0.91,0.554,31.612,11.542,17.912,2,42
img01.bmp,bottom_left,void,8,354,75.355,0.467,0.108,0.954,0.644,23.721,20.971,21.23,2,42
img01.bmp,bottom_left,void,9,381,79.012,0.519,0.738,0.945,0.61,25.077,21.442,22.025,2,42
img01.bmp,bottom_left,void,10,34,26.142,0.967,0.595,0.872,0.386,13.352,3.423,6.58,2,42
img01.bmp,bottom_left,void,11,344,85.326,0.875,-0.884,0.93,0.439,31.835,15.433,20.928,2,42
img01.bmp,bottom_left,void,12,345,80.527,0.763,0.112,0.925,0.595,27.811,17.98,20.959,2,42
img01.bmp,bottom_left,void,13,461,88.912,0.597,0.834,0.949,0.568,28.437,22.814,24.227,2,42
img01.bmp,bottom_left,void,14,202,80.491,0.973,0.151,0.871,0.496,35.254,8.18,16.037,2,42
img01.bmp,bottom_left,void,15,370,88.184,0.888,-1.366,0.907,0.556,34.05,15.669,21.705,2,42
img01.bmp,bottom_left,void,16,330,97.77,0.95,0.156,0.887,0.512,39.514,12.3,20.498,2,42
img01.bmp,bottom_left,void,17,191,67.977,0.935,-1.016,0.893,0.408,27.984,9.947,15.595,2,42
img01.bmp,bottom_left,void,18,605,103.497,0.739,-1.409,0.951,0.606,35.801,24.115,27.754,2,42
img01.bmp,bottom_left,void,19,598,113.74,0.892,-1.146,0.93,0.509,43.594,19.677,27.593,2,42
img01.bmp,bottom_left,void,20,231,72.77,0.919,0.556,0.895,0.45,29.227,11.49,17.15,2,42
img01.bmp,bottom_left,void,21,149,56.971,0.935,-0.156,0.909,0.621,24.019,8.55,13.774,2,42
img01.bmp,bottom_left,void,22,367,84.562,0.85,0.526,0.934,0.55,31.614,16.657,21.617,2,42
