Image name,Position,Region type,ID,Area [pixels],Perimeter [pixels],Eccentricity,Orientation [radians],Solidity,Extent,Major Axis Length [pixels],Minor Axis Length [pixels],Equivalent Diameter [pixels],Part_ID,Num_voids
img01.bmp,top_left,part,0,38291,4105.674,0.153,-1.268,0.76,0.743,277.925,274.667,220.802,0,41
img01.bmp,top_left,void,1,104,40.142,0.752,-1.556,0.912,0.693,14.874,9.809,11.507,0,41
img01.bmp,top_left,void,2,106,47.799,0.935,-1.335,0.898,0.589,20.548,7.293,11.617,0,41
img01.bmp,top_left,void,3,263,80.355,0.939,-1.307,0.895,0.501,32.887,11.318,18.299,0,41
img01.bmp,top_left,void,4,211,64.006,0.884,-1.478,0.887,0.601,25.354,11.839,16.391,0,41
img01.bmp,top_left,void,5,159,56.355,0.874,0.932,0.888,0.523,21.442,10.408,14.228,0,41
img01.bmp,top_left,void,6,211,73.077,0.951,-1.313,0.847,0.471,31.267,9.708,16.391,0,41
img01.bmp,top_left,void,7,339,75.841,0.326,0.692,0.929,0.589,22.505,21.278,20.776,0,41
img01.bmp,top_left,void,8,361,78.184,0.502,1.001,0.928,0.602,24.343,21.051,21.439,0,41
img01.bmp,top_left,void,9,329,77.77,0.718,0.249,0.901,0.58,26.044,18.126,20.467,0,41
img01.bmp,top_left,void,10,311,82.083,0.9,-0.839,0.899,0.461,31.733,13.86,19.899,0,41
img01.bmp,top_left,void,11,447,87.255,0.63,0.86,0.947,0.614,28.278,21.951,23.857,0,41
img01.bmp,top_left,void,12,335,94.184,0.946,0.203,0.893,0.511,38.903,12.555,20.653,0,41
img01.bmp,top_left,void,13,211,76.491,0.968,0.212,0.872,0.517,33.976,8.554,16.391,0,41
img01.bmp,top_left,void,14,368,90.426,0.897,-1.304,0.902,0.538,34.608,15.287,21.646,0,41
img01.bmp,top_left,void,15,168,65.184,0.954,-0.944,0.875,0.373,28.318,8.469,14.625,0,41
img01.bmp,top_left,void,16,603,105.74,0.762,-1.277,0.926,0.567,36.517,23.636,27.709,0,41
img01.bmp,top_left,void,17,602,113.397,0.879,-1.152,0.925,0.524,42.452,20.257,27.686,0,41
img01.bmp,top_left,void,18,261,74.184,0.889,0.597,0.903,0.522,28.228,12.947,18.23,0,41
img01.bmp,top_left,void,19,599,114.74,0.878,-1.157,0.912,0.528,42.326,20.257,27.616,0,41
img01.bmp,top_left,void,20,428,85.255,0.482,0.336,0.937,0.588,26.224,22.98,23.344,0,41
img01.bmp,top_left,void,21,140,55.456,0.926,-0.071,0.838,0.636,22.467,8.504,13.351,0,41
img01.bmp,top_left,void,22,368,79.355,0.778,0.928,0.922,0.615,28.366,17.822,21.646,0,41
img01.bmp,top_left,void,23,393,87.598,0.804,0.55,0.936,0.61,30.798,18.322,22.369,0,41
img01.bmp,top_left,void,24,374,80.184,0.777,1.473,0.935,0.645,28.768,18.11,21.822,0,41
img01.bmp,top_left,void,25,70,33.556,0.794,0.028,0.875,0.648,12.696,7.723,9.441,0,41
img01.bmp,top_left,void,26,343,83.598,0.863,1.183,0.905,0.527,31.115,15.715,20.898,0,41
img01.bmp,top_left,void,27,458,94.255,0.539,0.497,0.9,0.565,28.108,23.668,24.148,0,41
img01.bmp,top_left,void,28,369,82.669,0.776,0.594,0.941,0.617,28.626,18.043,21.675,0,41
img01.bmp,top_left,void,29,107,47.213,0.924,-0.256,0.877,0.626,19.364,7.425,11.672,0,41
img01.bmp,top_left,void,30,390,85.497,0.66,-0.404,0.922,0.585,27.065,20.34,22.284,0,41
img01.bmp,top_left,void,31,442,86.184,0.662,0.271,0.938,0.641,29.136,21.839,23.723,0,41
img01.bmp,top_left,void,32,305,81.497,0.906,0.95,0.91,0.407,32.429,13.739,19.706,0,41
img01.bmp,top_left,void,33,485,97.497,0.779,0.906,0.936,0.561,33.4,20.935,24.85,0,41
img01.bmp,top_left,void,34,212,65.113,0.868,1.327,0.876,0.582,24.725,12.261,16.429,0,41
img01.bmp,top_left,void,35,144,50.87,0.852,-1.241,0.883,0.554,19.781,10.364,13.541,0,41
img01.bmp,top_left,void,36,112,52.592,0.944,1.495,0.842,0.609,22.153,7.312,11.942,0,41
img01.bmp,top_left,void,37,252,68.977,0.83,1.335,0.906,0.583,25.369,14.168,17.912,0,41
img01.bmp,top_left,void,38,179,63.355,0.932,1.243,0.895,0.53,26.183,9.491,15.097,0,41
img01.bmp,top_left,void,39,152,52.663,0.845,-1.248,0.916,0.557,19.97,10.667,13.912,0,41
img01.bmp,top_left,void,40,13,13.657,0.976,0.914,0.929,0.371,8.617,1.889,4.068,0,41
img01.bmp,top_left,void,41,36,26.45,0.971,1.361,0.8,0.514,14.324,3.442,6.77,0,41
img01.bmp,bottom_left,part,0,37887,4155.306,0.157,-1.304,0.752,0.735,279.026,275.584,219.634,1,42
img01.bmp,bottom_left,void,1,167,51.249,0.67,1.174,0.928,0.596,17.907,13.298,14.582,1,42
img01.bmp,bottom_left,void,2,145,56.42,0.923,-1.27,0.89,0.525,22.947,8.838,13.587,1,42
img01.bmp,bottom_left,void,3,356,86.426,0.881,-1.337,0.927,0.535,33.069,15.622,21.29,1,42
img01.bmp,bottom_left,void,4,269,71.627,0.841,-1.393,0.944,0.623,26.506,14.356,18.507,1,42
img01.bmp,bottom_left,void,5,203,62.562,0.831,0.901,0.914,0.509,22.644,12.601,16.077,1,42
img01.bmp,bottom_left,void,6,73,39.456,0.963,0.917,0.912,0.38,19.024,5.1,9.641,1,42
img01.bmp,bottom_left,void,7,268,78.113,0.921,-1.366,0.915,0.547,31.495,12.24,18.472,1,42
img01.bmp,bottom_left,void,8,373,77.941,0.494,0.01,0.942,0.649,24.519,21.322,21.793,1,42
img01.bmp,bottom_left,void,9,403,81.255,0.527,0.719,0.944,0.596,25.917,22.025,22.652,1,42
img01.bmp,bottom_left,void,10,36,26.728,0.957,0.619,0.878,0.409,13.144,3.817,6.77,1,42
img01.bmp,bottom_left,void,11,364,80.527,0.747,0.182,0.936,0.628,27.921,18.562,21.528,1,42
img01.bmp,bottom_left,void,12,367,88.154,0.866,-0.852,0.918,0.452,32.358,16.203,21.617,1,42
img01.bmp,bottom_left,void,13,484,90.083,0.592,0.867,0.938,0.596,29.019,23.397,24.824,1,42
img01.bmp,bottom_left,void,14,225,81.906,0.972,0.2,0.846,0.468,36.861,8.672,16.926,1,42
img01.bmp,bottom_left,void,15,354,99.355,0.947,0.192,0.872,0.515,40.303,12.921,21.23,1,42
img01.bmp,bottom_left,void,16,391,91.012,0.887,-1.323,0.909,0.559,35.001,16.195,22.312,1,42
img01.bmp,bottom_left,void,17,209,69.598,0.925,-0.973,0.901,0.423,28.208,10.698,16.313,1,42
img01.bmp,bottom_left,void,18,633,105.74,0.748,-1.362,0.942,0.595,36.886,24.488,28.389,1,42
img01.bmp,bottom_left,void,19,621,115.154,0.887,-1.112,0.921,0.51,43.854,20.26,28.119,1,42
img01.bmp,bottom_left,void,20,162,60.385,0.933,-0.124,0.88,0.589,25.108,9.026,14.362,1,42
img01.bmp,bottom_left,void,21,250,75.355,0.915,0.581,0.862,0.458,30.114,12.159,17.841,1,42
img01.bmp,bottom_left,void,22,631,116.326,0.89,-1.145,0.925,0.524,44.454,20.29,28.345,1,42
img01.bmp,bottom_left,void,23,431,83.598,0.371,-0.195,0.945,0.639,25.431,23.612,23.426,1,42
img01.bmp,bottom_left,void,24,388,86.77,0.843,0.598,0.933,0.557,32.105,17.245,22.226,1,42
img01.bmp,bottom_left,void,25,365,78.184,0.775,0.894,0.931,0.608,28.19,17.826,21.558,1,42
img01.bmp,bottom_left,void,26,79,36.107,0.831,-0.294,0.849,0.608,14.382,7.996,10.029,1,42
img01.bmp,bottom_left,void,27,429,87.255,0.234,0.712,0.939,0.589,25.307,24.605,23.371,1,42
img01.bmp,bottom_left,void,28,374,79.941,0.77,1.545,0.937,0.679,28.397,18.121,21.822,1,42
img01.bmp,bottom_left,void,29,335,83.426,0.886,1.2,0.918,0.523,31.9,14.814,20.653,1,42
img01.bmp,bottom_left,void,30,341,80.426,0.823,0.654,0.934,0.546,29.042,16.483,20.837,1,42
img01.bmp,bottom_left,void,31,100,42.42,0.904,-0.286,0.926,0.617,17.659,7.568,11.284,1,42
img01.bmp,bottom_left,void,32,413,85.841,0.598,0.174,0.934,0.619,27.219,21.815,22.931,1,42
img01.bmp,bottom_left,void,33,371,79.598,0.659,-0.526,0.932,0.62,26.397,19.858,21.734,1,42
img01.bmp,bottom_left,void,34,289,82.912,0.918,0.971,0.895,0.401,33.033,13.097,19.182,1,42
img01.bmp,bottom_left,void,35,443,92.426,0.821,0.964,0.947,0.554,33.342,19.018,23.75,1,42
img01.bmp,bottom_left,void,36,201,62.042,0.904,1.401,0.918,0.644,25.723,10.992,15.998,1,42
img01.bmp,bottom_left,void,37,104,45.006,0.922,-1.215,0.881,0.547,18.998,7.378,11.507,1,42
img01.bmp,bottom_left,void,38,100,45.763,0.937,1.408,0.855,0.505,20.013,6.966,11.284,1,42
img01.bmp,bottom_left,void,39,213,63.077,0.857,1.448,0.914,0.607,24.282,12.529,16.468,1,42
img01.bmp,bottom_left,void,40,141,57.627,0.944,1.308,0.86,0.475,24.647,8.128,13.399,1,42
img01.bmp,bottom_left,void,41,112,47.799,0.925,-1.261,0.889,0.56,20.149,7.672,11.942,1,42
img01.bmp,bottom_left,void,42,4,4.0,0.0,0.785,1.0,1.0,2.0,2.0,2.257,1,42
img01.bmp,top_right,part,0,37334,4106.076,0.189,1.564,0.752,0.734,277.777,272.791,218.026,2,46
img01.bmp,top_right,void,1,107,41.314,0.83,1.488,0.93,0.743,16.144,9.01,11.672,2,46
img01.bmp,top_right,void,2,100,44.385,0.91,-1.375,0.877,0.556,18.535,7.697,11.284,2,46
img01.bmp,top_right,void,3,290,83.598,0.937,-1.354,0.895,0.503,34.416,12.018,19.216,2,46
img01.bmp,top_right,void,4,188,59.385,0.874,-1.569,0.917,0.653,23.351,11.332,15.472,2,46
img01.bmp,top_right,void,5,122,47.456,0.912,0.942,0.924,0.513,20.204,8.3,12.463,2,46
